# CSV-File created with merge-csv.com
# -----------------------------------------------------------

UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
HMIG UNDIP,@HMIG_UNDIP,2021-06-19T04:21:28.000Z,"HMIG UNDIP
@HMIG_UNDIP
·
19 Jun 2021","[PROGRAM MAGANG & STUDI INDEPENDEN BERSERTIFIKAT KAMPUS MERDEKA]
Halo Nutrillicious
Sudah tau belum nih kalau Kampus Merdeka ada Program Magang & Studi Independen Bersertifikat Kampus Merdeka. Apa sih itu?
1
1",👋 👋,1,,1,['https://pbs.twimg.com/media/E4N84qcVcAwvxXD?format=jpg&name=small'],https://twitter.com/HMIG_UNDIP/status/1406104824513368065
HMIG UNDIP,@HMIG_UNDIP,2021-06-19T04:21:34.000Z,"HMIG UNDIP
@HMIG_UNDIP
·
19 Jun 2021","Magang Bersertifikat Kampus Merdeka adalah sebuah program magang yang dipercepat dan diakselerasikan dengan pengalaman belajar yang dirancang dengan baik.
1",,1,,,"['https://pbs.twimg.com/media/E4N85QNUcAIT5b4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E4N85nGVgAI75_g?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E4N86DCUYAMLgIj?format=jpg&name=360x360']",https://twitter.com/HMIG_UNDIP/status/1406104848290906117
HMIG UNDIP,@HMIG_UNDIP,2021-06-24T03:14:03.000Z,"HMIG UNDIP
@HMIG_UNDIP
·
24 Jun 2021","[PROGRAM MAGANG & STUDI INDEPENDEN BERSERTIFIKAT KAMPUS MERDEKA]
Halo Nutrillicious
Ingat kan beberapa waktu yang lalu ada info tentang Program Magang & Studi Independen Bersertifikat Kampus Merdeka?
Nah buat kamu yang masih
1
1
2",👋 👋,1,1,2,"['https://pbs.twimg.com/media/E4ndZJwVUAAk8We?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E4ndZgbVkAIq_2y?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E4ndZ3vVcAISXzO?format=jpg&name=360x360']",https://twitter.com/HMIG_UNDIP/status/1407899797558685702
sa,@Mbeee27,2021-06-25T01:16:50.000Z,"sa
@Mbeee27
·
25 Jun 2021","Udah daftar ke Magang Merdeka, hasil baik atau sebaliknya itu terserah jalannya",,,,,[],https://twitter.com/Mbeee27/status/1408232683214315524
Elisa Koraag,@mamavanenbas,2021-07-15T16:54:43.000Z,"Elisa Koraag
@mamavanenbas
·
15 Jul 2021","Guys,  Kamu mahasiswa aktif semester 5-6? Lagi nyari tempat magang yang ngasih pengalaman lengkap dan berfaedah? Mau kenal dunia perbankan lebih dekat? Yuk, apply program magang Kampus merdeka di 
@bankmandiri
.
1",,,,1,"['https://pbs.twimg.com/media/E6WinSoVcAEoOF7?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E6WinoRVEAAoiSA?format=jpg&name=360x360']",https://twitter.com/mamavanenbas/status/1415716468507873280
Kantah Kab Sragen,@kantahkabsragen,2021-07-15T02:19:13.000Z,"Kantah Kab Sragen
@kantahkabsragen
·
15 Jul 2021","Launching Program Magang Kampus Merdeka  
@atr_bpn
  oleh Menteri ATR/Kepala BPN Sofyan A. Djalil serta akan ada Pembekalan dari Sekretaris Jenderal Kementerian ATR/BPN,
Jangan sampai ketinggalan ya sob.
Catat tanggal dan waktunya ya!
1",,,,1,[],https://twitter.com/kantahkabsragen/status/1415496142926737409
Elisa Koraag,@mamavanenbas,2021-07-15T16:57:36.000Z,"Elisa Koraag
@mamavanenbas
·
15 Jul 2021","Tunjukkan kemampuanmu & mulai berkontribusi nyata utk Indonesia melalui 
@bankmandiri
.
Info lebih lanjut, kamu  bisa cek website & media sosial #MagangKampusMerdeka Kemendikbud di @magangmerdeka 
@kampusmerdeka
.ri atau kunjungi http://bmri.id/kampusmerdeka
1",,,,1,[],https://twitter.com/mamavanenbas/status/1415717194348994561
pancong,@alerianyx,2021-07-22T13:40:50.000Z,"pancong
@alerianyx
·
22 Jul 2021","Astagfirullah kaget liat kuota magang kampus merdeka
1",,1,,,[],https://twitter.com/alerianyx/status/1418204391258001413
dika,@wzardkaka,2021-07-23T15:12:41.000Z,"dika
@wzardkaka
·
23 Jul 2021",Yaampun kek udah akrab bgt sama HRnya jam segini chat bahas kampus merdeka bermula dari dia salah masukin posisi magang ,🍂 😭,,,,[],https://twitter.com/wzardkaka/status/1418589893245112325
Pemprov Sumbar,@KominfoSumbar,2021-07-23T09:18:15.000Z,"Pemprov Sumbar
@KominfoSumbar
·
23 Jul 2021","Direktorat Jenderal Pendidikan Vokasi, Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi (Ditjen Diksi Kemendikbudristek) menggelar Sosialisasi Program Magang dan Studi Independen Bersertifikat Kampus Merdeka secara daring
Lengkapnya
infopublik.id
InfoPublik - Kemendikbudristek Luncurkan Beasiswa Magang dan Studi Independen Bersertifikat
Kedua beasiswa ini adalah bagian dari Program Kampus Merdeka Vokasi 2021 yang bekerja sama dengan Lembaga Pengelola Dana Pendidikan (LPDP).
2",,,,2,[],https://twitter.com/KominfoSumbar/status/1418500697843138561
lil,@whothsgrl,2021-07-24T22:21:36.000Z,"lil
@whothsgrl
·
25 Jul 2021","Mau daftar kampus Merdeka magang, tapi pas liat persyaratan gaada yg butuh sastra anjgg w daftar kmn dong",,,,,[],https://twitter.com/whothsgrl/status/1419060222786637828
M. Abi H.,@m_abi_h,2021-07-25T02:23:43.000Z,"M. Abi H.
@m_abi_h
·
25 Jul 2021",Dosen/rektor jadi komisaris itu bukannya implementasi kampus merdeka ya? Program dosen beraktivitas di industri/dosen magang di industri. #eh keprucut,,,,,[],https://twitter.com/m_abi_h/status/1419121153042382854
Kantah Kota Jakarta Selatan,@kantahkotjaksel,2021-07-29T13:16:58.000Z,"Kantah Kota Jakarta Selatan
@kantahkotjaksel
·
29 Jul 2021","Hallo #sobaATRBPN, Hari Jumat 23 Juli 2021 telah dilaksanakan acara Pengarahan Kegiatan Magang pada Program Merdeka Belajar
Kampus Merdeka (MBKM) melalui zoom meeting.
1
3",,1,,3,['https://pbs.twimg.com/media/E7d3C6cVIA0CV15?format=jpg&name=small'],https://twitter.com/kantahkotjaksel/status/1420735101734768645
Wima Nastiti,@wimanast,2021-08-03T13:38:13.000Z,"Wima Nastiti
@wimanast
·
3 Agt 2021","Masih ga percaya woy lolos seleksi tahap 2 yang telkom di magang kampus merdeka. Dari 15.000 orang yg daftar di telkom. Sebenernya masih nunggu follow up dari psikotest online blibli, setjen dpr ri, sama hasil test danone kmrn. Minggu ini isinya test test terus ovt nunggu hasil.
5
4",,5,,4,[],https://twitter.com/wimanast/status/1422552386497822722
alfanazizi,@alfanazizi,2021-08-04T17:58:38.000Z,"alfanazizi
@alfanazizi
·
5 Agt 2021",Kesempatan buat magang sekarang juga lebih terbuka. Kemendikbud bisa ngepush perusaha2an keren buat bikin program magang via magang merdeka. Ini kebijakan keren sih di era menteri nadim.,,,,,[],https://twitter.com/alfanazizi/status/1422980309172113414
Wima Nastiti,@wimanast,2021-08-06T23:42:41.000Z,"Wima Nastiti
@wimanast
·
7 Agt 2021","PENGALAMAN MAGANG BERSERTIFIKAT KAMPUS MERDEKA
-A Thread-
3
12
70",,3,12,70,[],https://twitter.com/wimanast/status/1423791668734545921
Wima Nastiti,@wimanast,2021-08-06T23:46:40.000Z,"Wima Nastiti
@wimanast
·
7 Agt 2021","Hari ini aku mau cerita tentang pengalaman ikut program magang kampus merdeka. Thread ini bakalan aku lanjutin sampe proses magang ini selesei secara bertahap. Aku bakal cerita pengalaman aku dari mulai apply (tips-tips lolos administrasi, test, interview) sampe nanti setelah
1
2
10",,1,2,10,[],https://twitter.com/wimanast/status/1423792672037167109
Wima Nastiti,@wimanast,2021-08-07T01:09:56.000Z,"Wima Nastiti
@wimanast
·
7 Agt 2021","Kak masih bingung, kalian bisa reply disini atau dm aku. Aku jawab ketika aku buka Twitter ya. Buat yang ga ikut magang merdeka tapi pengen nanya nanya seputar CV juga boleh. Aku emang bukan pakar CV, tapi bisa kok memberi masukan berdasarkan analisisku.
1
1",,1,,1,[],https://twitter.com/wimanast/status/1423813626054332424
Wima Nastiti,@wimanast,2021-08-07T04:47:26.000Z,"Wima Nastiti
@wimanast
·
7 Agt 2021","blibl* maupun tidak adanya email lagi dari dan*ne dan setj*n dp*. Setelah menuntaskan kesedihan, aku mulai cari cari lagi nih magang diluar program kampus merdeka. Sore harinya, tiba-tiba aku dichat oleh pihak blibl*. Pihak blibl* bertanya apakah aku masih available,
1
1",,1,,1,[],https://twitter.com/wimanast/status/1423868364380786689
,@luxuryzuxy,2021-08-21T02:58:21.000Z,"@luxuryzuxy
·
21 Agt 2021","Muatan utama dalam pelaksanaan pendidikan tinggi vokasi yakni Link and match dengan dunia kerja, magang, sertifikasi kompetensi, praktik lebih banyak dari telri, teknologi informasi dan komunikasi (era industri 4.0), soft skill — PBL dan studi kasus, serta merdeka belajar.
1",👀,1,,,[],https://twitter.com/luxuryzuxy/status/1428914341575725061
Stella K. Suwardi,@StellaSuwardi,2021-08-22T09:43:43.000Z,"Stella K. Suwardi
@StellaSuwardi
·
22 Agt 2021","@TelkomIndonesia
 Indonesia Tbk melalui Telkom Corporate University -Indonesia Telecommunication & Digital Research Institute menawarkan 311 posisi magang utk mahasiswa pd Kampus Merdeka 6- 12 bln utk mendapat hard skill + soft skill.
kerjha.com
Telkom Buka Program Magang Kampus Merdeka Bersertifikat untuk Ratusan Mahasiswa - Kerja Hasil
Kerjha ― PT Telkom Indonesia Tbk melalui Telkom Corporate University (Corpu)-Indonesia Telecommunication & Digital Research Institute (ITDRI), menawarkan 311 posisi magang bersertifikat bagi mahasi...",,,,,['https://pbs.twimg.com/card_img/1529375395900174337/OsZqaslj?format=jpg&name=small'],https://twitter.com/StellaSuwardi/status/1429378743080951810
Dhildi,@dhilll_diii,2021-09-09T10:04:22.000Z,"Dhildi
@dhilll_diii
·
9 Sep 2021","Kampus Merdeka aj gada tuh fasilitasi ormawa, soalnya menciptakan jiwa2 kritis alias pendemo HAHAHA. Mending suruh mahasiswa fokus magang aj lah drpd kritis ke pemerintah xixixi
1",,,,1,[],https://twitter.com/dhilll_diii/status/1435906922859827206
dst,@ylsecd,2021-09-26T06:52:42.000Z,"dst
@ylsecd
·
26 Sep 2021",Pengen magang di kampus merdeka ihhh,,,,,[],https://twitter.com/ylsecd/status/1442019278677438472
Dhildi,@dhilll_diii,2021-10-02T05:48:00.000Z,"Dhildi
@dhilll_diii
·
2 Okt 2021","Gue ga suka sama internship2 yg kerja dan return nya ga seimbang. Tapi liat temen2 ikut magang dr Kampus Merdeka kok rasanya diri ini sangat iri ya Allah JAUHKAN AKU DR IRI DENGKI SIFAT SATRIO
1
1",,1,,1,[],https://twitter.com/dhilll_diii/status/1444177323289284615
Badutdigital,@SatyaDewastraBW,2021-10-29T07:40:23.000Z,"Badutdigital
@SatyaDewastraBW
·
29 Okt 2021","Bau-baunya magang ""merdeka"" Ga merdeka ya? Xixix
3
1",,3,,1,[],https://twitter.com/SatyaDewastraBW/status/1453990077743255558
marisa typo latuconsina,@shesagnostic,2021-10-29T02:42:01.000Z,"marisa typo latuconsina
@shesagnostic
·
29 Okt 2021","Membalas 
@himawanan
 @AdamBagaskara
  dan 4 lainnya
ada anak magang kampus merdeka sih di kantorku. tp kerjanya cuma nonton utub, utak atik komputer kantor, pulang ga pamit cus aja haha. dpt anak magang lain lg rajin, jd kami kasih uang saku sendiri. baru tau ada uang saku kampus merdeka resmi dari kemenristek atau dari lain?
6
2
14",,6,2,14,[],https://twitter.com/shesagnostic/status/1453914991589875713
Bukan Kiper Persik Kediri,@adipsatrio_,2021-10-29T13:02:51.000Z,"Bukan Kiper Persik Kediri
@adipsatrio_
·
29 Okt 2021","Sempet nyesel dulu gak ikutan daftar magang kampus merdeka awal-awal sama gagal magang di startup pendidikan itu, tapi lihat beberapa utas yg sedikit ""membuka mata"" jadi bersyukur gak sempet ngerasain ",😇 🙏,,,,[],https://twitter.com/adipsatrio_/status/1454071230349250561
Oka ॐ,@yudhapati88,2021-11-05T04:48:11.000Z,"Oka ॐ
@yudhapati88
·
5 Nov 2021","Pastikan yg mau berteman dgn saya adalah manusia2 yg sdh merdeka jiwa dan raganya. Bukan manusia2 yg masih diperbudak oleh dogma2 dan macak magang anyaran sebagai polisi moral. Trims
1",,,,1,[],https://twitter.com/yudhapati88/status/1456483460579684353
,@ivanarkan,2021-11-11T01:03:31.000Z,"@ivanarkan
·
11 Nov 2021","“Dont judge the book by its cover” is real kayanya, dulu sempet amazed bahwa Magang Merdeka tu program bagus lalala yeyeye
Ternyata gini dalemnya 
Aspirasi Mahasiswa Magang Kampus Merdeka Angkatan1
@MagangStudi
 · 9 Nov 2021
Capek banget jadi mahasiswa Magang Merdeka

Udh uang saku gak cair2, dikatain buzzer mulu lagi -_-

3-4 bulan kerja baru terima uang saku 1x, itupun masih ada yg blm terima uang saku bulan ke-1

Tolong bantu kami

Tampilkan utas ini
1",🗿 🤡 🤡 😭 🙏,1,,,"['https://pbs.twimg.com/profile_images/1467311410635894787/6z0m0BFe_mini.jpg', 'https://pbs.twimg.com/media/FDvXjFIVIAwXQMr?format=jpg&name=small', 'https://pbs.twimg.com/media/FDvXjuOVgAMt6Ow?format=jpg&name=small']",https://twitter.com/ivanarkan/status/1458601246114287621
Pariwisata Banyumas,@PariwisataBms,2021-04-12T04:24:21.000Z,"Pariwisata Banyumas
@PariwisataBms
·
12 Apr 2021","Halo mahasiswa! Kali ini pariwisata banyumas akan dibantu oleh mahasiswa Hubungan Internasional Universitas Jenderal Soedirman memalui program magang MBKM. 
0:04
80 tayangan
1
1",,1,,1,[],https://twitter.com/PariwisataBms/status/1381463172121423876
Pariwisata Banyumas,@PariwisataBms,2021-04-12T04:24:23.000Z,"Pariwisata Banyumas
@PariwisataBms
·
12 Apr 2021","Dalam membantu kemajuan pariwisata di Banyumas menjadi salah satu indikator yang harus dicapai oleh peserta magang MBKM selama 6 bulan kedepan. 
Banyumas Mbetaih ~ Ngangeni
Pariwisata Banyumas,@PariwisataBms,2021-04-12T04:24:21.000Z,"Pariwisata Banyumas
@PariwisataBms
·
12 Apr 2021","Halo mahasiswa! Kali ini pariwisata banyumas akan dibantu oleh mahasiswa Hubungan Internasional Universitas Jenderal Soedirman memalui program magang MBKM. 
80 tayangan
0:07 / 0:07
1
1",,1,,1,[],https://twitter.com/PariwisataBms/status/1381463172121423876
Kantah Kab Sragen,@kantahkabsragen,2021-07-17T23:16:07.000Z,"Kantah Kab Sragen
@kantahkabsragen
·
18 Jul 2021","“Dengan program MBKM, kita mengajak mahasiswa untuk dapat mengakses seperti apa rencana tata ruang, peta tata ruang, seperti apa penyusunan rencana tata ruang. Silahkan mahasiswa integrasikan ilmu yang didapat di bangku formal untuk dapat diterapkan dalam magang tersebut""
1
1
2",,1,1,2,"['https://pbs.twimg.com/media/E6iNEk1UYAAdLl4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E6iNFL5VgAkMiwo?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E6iNFrzVEAAzQeg?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E6iNGIoVcAAzmAF?format=jpg&name=360x360']",https://twitter.com/kantahkabsragen/status/1416537227803316224
Kantah Kota Jakarta Selatan,@kantahkotjaksel,2021-07-29T13:16:58.000Z,"Kantah Kota Jakarta Selatan
@kantahkotjaksel
·
29 Jul 2021","Hallo #sobaATRBPN, Hari Jumat 23 Juli 2021 telah dilaksanakan acara Pengarahan Kegiatan Magang pada Program Merdeka Belajar
Kampus Merdeka (MBKM) melalui zoom meeting.
1
3",,1,,3,['https://pbs.twimg.com/media/E7d3C6cVIA0CV15?format=jpg&name=small'],https://twitter.com/kantahkotjaksel/status/1420735101734768645
nisa,@sleepyheadrahma,2021-08-02T15:32:58.000Z,"nisa
@sleepyheadrahma
·
2 Agt 2021","Tiga kali ikut program MBKM: semester kemarin ikut Bangkit, dilanjut short course pas liburan, kemudian semester besok magang tapi KKN (atau dibalik? atau digabung?)
Well, bismillah menuju Nisa ngilang setahun. :))",,,,,['https://pbs.twimg.com/media/E7y8h_OVcAU3I-z?format=jpg&name=900x900'],https://twitter.com/sleepyheadrahma/status/1422218879099490314
Wima Nastiti,@wimanast,2021-08-06T23:53:31.000Z,"Wima Nastiti
@wimanast
·
7 Agt 2021","aku menyelesaikan program magang ini. Okey, mahasiswa yang bisa apply di mbkm adalah mahasiswa aktif dari semester 5-8 (sem 9 juga bisa kok asal status kalian masih mahasiswa aktif). Semester bawah sebenernya juga bisa, tapi ya requirement dari perusahaan rata-rata
1
1",,1,,1,[],https://twitter.com/wimanast/status/1423794397678739460
Kencing di Celana,@suddenlydying,2020-01-02T06:21:32.000Z,"Kencing di Celana
@suddenlydying
·
2 Jan 2020","Oh tas eleng kate ngetwit iki. Akeh arek ngarani 2019 is the worst year. Tapi kon sadar gak taun iki ples kedepane malah luweh gendeng?? Magang, kkn, ujug2 cedek skripsi, durung maneh lulus dikek i realita dunia kerja. Smt 5 sek an yawoh mentolo sambat. Ngalir ae lah slurr
1
2
2",,1,2,2,[],https://twitter.com/suddenlydying/status/1212619918014726144
joelᵛ,@taekucheng,2020-01-02T08:32:24.000Z,"joelᵛ
@taekucheng
·
2 Jan 2020","Ketika para karyawan sibuk mengurusi program input data baru yang bikin bingung, di sini saya bikin garis dan mengurutkan arsip. Anak magang banget rasanya wkwkw :')",,,,,[],https://twitter.com/taekucheng/status/1212652851584892929
EndnagYE,@EndangYE,2020-01-02T09:53:21.000Z,"EndnagYE
@EndangYE
·
2 Jan 2020","Pernah w sakit demam doang, bilang sama teteh. Malemnya jam 10an malem tiba-tiba ada suara mobil, ditengokin langsung. Takut kenapa-napa ceunah 
Pas selesei magang Puskesmas juga, badan nggreges dan panas, malemnya langsung ditemuin. 
Suka terharu akutuh :”)))
1",😅,1,,,[],https://twitter.com/EndangYE/status/1212673221775855616
Alfi K. Adha,@alfi_kurniadha,2020-01-02T13:57:32.000Z,"Alfi K. Adha
@alfi_kurniadha
·
2 Jan 2020","Aku tadi jadi magang jadi kernet. 
Jam 11.30 sudah ready di tepi jalan raya Jogka-Solo dong. Biasanya bus lalu lalang banyak, eh tapi hari ini istimewa. GAK ADA BUS YG LEWAT. 
Baru sekitar 12.15 akhirnya kopaja Solo Raya Jogja lewat, hamdalah.
1",,1,,,[],https://twitter.com/alfi_kurniadha/status/1212734675711492097
,@martabaqmanis,2020-01-02T14:54:24.000Z,"@martabaqmanis
·
2 Jan 2020","Dosbingnya itu pun dosen yang nguji aku waktu ujian magang .
1",🤯 🙃 🙃,1,,,[],https://twitter.com/martabaqmanis/status/1212748984919318529
,@martabaqmanis,2020-01-02T14:51:45.000Z,"@martabaqmanis
·
2 Jan 2020","Trus langsung ngurus buat ngehardcoverin tuh laporan magang. Minggu depannya pas mau ambil tuh laporan di fc an tau² jatoh ma doi 
1",🤯 🙃 🙃,1,,,[],https://twitter.com/martabaqmanis/status/1212748319094476800
,@martabaqmanis,2020-01-02T14:49:51.000Z,"@martabaqmanis
·
2 Jan 2020","Trus revisian 1x setelah itu suruh langsung ujian dan gaada satu minggu dah langsung keluar jadwalnya, pdhal temen² ngasi tau kira² aku ujian magang tahun ini bukan tahun kemarin.
1",🤯,1,,,[],https://twitter.com/martabaqmanis/status/1212747840067268608
Bunga,@ndybungaa,2020-01-02T08:25:22.000Z,"Bunga
@ndybungaa
·
2 Jan 2020","Membalas 
@devanathania
Siapa tmnlu yg magang
1",,1,,,[],https://twitter.com/ndybungaa/status/1212651082037415937
little ponx,@lutponx,2020-01-02T13:04:18.000Z,"little ponx
@lutponx
·
2 Jan 2020","Membalas 
@Ziziyra
Itupula ucapan ku setiap magang yang sudah sudah ekwk
1",,1,,,[],https://twitter.com/lutponx/status/1212721278756347904
hardika widi satria,@hardika_ws,2020-01-02T03:26:03.000Z,"hardika widi satria
@hardika_ws
·
2 Jan 2020","Membalas 
@RendiNovianto
Kalo gubernur sekarang emg knp ren?
Masih magang yak? Kasian dia kerja sendirian sekuat tenaga gak punya wagub, masih diributin jatahnya sama pks gerindra sampe banjir masih aja kerja sendirian 
1",😕,1,,,[],https://twitter.com/hardika_ws/status/1212575755076456448
hanomanis,@gosaahdifollow,2020-01-02T02:18:57.000Z,"hanomanis
@gosaahdifollow
·
2 Jan 2020",Day 1 magang cie,,,,,['https://pbs.twimg.com/media/ENPf2d9UcAAziIv?format=jpg&name=small'],https://twitter.com/gosaahdifollow/status/1212558870473666560
kurnia,@Anggunkurniasr,2020-01-03T15:38:44.000Z,"kurnia
@Anggunkurniasr
·
3 Jan 2020","2020 kemana lg kita? magang dulu, kkn dulu, kkl dulu
2
7",😌,2,,7,"['https://pbs.twimg.com/media/ENXgfEtUYAEfLKV?format=jpg&name=small', 'https://pbs.twimg.com/media/ENXgf5pUUAAgARf?format=jpg&name=small']",https://twitter.com/Anggunkurniasr/status/1213122529889357824
aml,@dotpiwai,2020-01-03T02:14:46.000Z,"aml
@dotpiwai
·
3 Jan 2020",Lama lama magang di dokter mata,,,,,['https://pbs.twimg.com/media/ENUofXoU8AAntqd?format=jpg&name=small'],https://twitter.com/dotpiwai/status/1212920204352606208
kley,@klemens_Okura,2020-01-03T01:39:54.000Z,"kley
@klemens_Okura
·
3 Jan 2020","niat magang malah kena banjir 
1
1",😅,1,,1,['https://pbs.twimg.com/media/ENUgf9TVAAAAgxN?format=jpg&name=900x900'],https://twitter.com/klemens_Okura/status/1212911430711693312
dels.,@ailedasss,2020-01-03T08:42:55.000Z,"dels.
@ailedasss
·
3 Jan 2020","yatuhan smg kuat sekamar sm doi sampe magang selesai
3",,3,,,[],https://twitter.com/ailedasss/status/1213017887142580224
